Name,Symbol
"Общество с ограниченной ответственностью ""Тинькофф Капитал""",TRAI
"Общество с ограниченной ответственностью ""Тинькофф Капитал""",TEUS
"Общество с ограниченной ответственностью ""Тинькофф Капитал""",TBUY
"Общество с ограниченной ответственностью ""Тинькофф Капитал""",TMON
"Общество с ограниченной ответственностью ""УК ""А-Капитал""",SPBF
"Общество с ограниченной ответственностью ""УК ""А-Капитал""",SPBC
"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""",AKMB
"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""",AKME
"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""",AKQU
"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""",AKGD
"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""",AKMM
"Общество с ограниченной ответственностью ""Управляющая компания ""Атон-менеджмент""",AMRE
"Общество с ограниченной ответственностью ""Управляющая компания ""Атон-менеджмент""",AMRB
"Общество с ограниченной ответственностью ""Управляющая компания ""Атон-менеджмент""",AMRH
"Общество с ограниченной ответственностью ""Управляющая компания ""Восток-Запад""",MTEK
"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""",DIVD
"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""",GROD
"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""",GQGD
"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""",GLVD
"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""",GSCD
"Общество с ограниченной ответственностью ""Управляющая компания ""ДОХОДЪ""",BOND
"Общество с ограниченной ответственностью ""Управляющая компания ""ОТКРЫТИЕ""",OPNR
"Общество с ограниченной ответственностью ""Управляющая компания ""ОТКРЫТИЕ""",OPNB
"Общество с ограниченной ответственностью ""Управляющая компания ""Райффайзен Капитал""",RCMB
"Общество с ограниченной ответственностью ""Управляющая компания ""Райффайзен Капитал""",RCHY
"Общество с ограниченной ответственностью ""Управляющая компания ""Райффайзен Капитал""",RQIE
"Общество с ограниченной ответственностью ""Управляющая компания ""Райффайзен Капитал""",RQIU
"Общество с ограниченной ответственностью ""Управляющая компания ""Райффайзен Капитал""",RCGL
"Общество с ограниченной ответственностью ""Хоум Кредит энд Финанс Банк""",RU000A103760
"Общество с ограниченной ответственностью ""Хоум Кредит энд Финанс Банк""",RU000A100UG9
"Общество с ограниченной ответственностью ""Хоум Кредит энд Финанс Банк""",RU000A102RF3
Общество с ограниченной ответственностью Сбережения плюс,RU000A102N77
"Общество с ограниченной ответственностью УК ""Система Капитал""",SCIP
"Общество с ограниченной ответственностью УК ""Система Капитал""",SCFT
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""",BSPB
Правительство Белгородской области,RU000A100PP0
Правительство Белгородской области,RU000A100Y84
Правительство Белгородской области,RU000A101PA0
Правительство Белгородской области,RU000A101RB4
Правительство Белгородской области,RU000A1025F6
Правительство Белгородской области,RU000A0JXTW1
Правительство Москвы,RU000A1030S9
Правительство Москвы,RU000A1030T7
Правительство Москвы,RU000A1033Z8
Правительство Ханты-Мансийского автономного округа - Югры,RU000A0ZYKW4
"Публичное  акционерное общество ""ИНАРКТИКА""",AQUA
"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",AFKS
"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",RU000A0JVUK8
"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",RU000A0JWYQ5
"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",RU000A0JWZY6
"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",RU000A0JXN21
